customerId,customerName,phoneNumber,isVIP,repeatCalls
KH00001,Ly Quoc Xuan,0960910551,false,18
KH00002,Vu Huu Ich,0908040868,true,9
KH00003,Tran Anh Binh,0944051847,true,14
KH00004,Nguyen Quoc Long,0935524210,false,12
KH00005,Bui Trung Long,0971108581,false,14
KH00006,Vu Huu Giang,0943888969,false,8
KH00007,Le Kim Hoa,0947283305,false,7
KH00008,Vu Anh Long,0846964864,false,5
KH00009,Hoang Minh Giang,0917048665,false,9
KH00010,Duong Kim Em,0906056512,false,25
KH00011,Phan Ngoc Chi,0974486275,true,25
KH00012,Tran Thi Xuan,0909084299,false,45
KH00013,Pham Tuan Tam,0968229247,false,1
KH00014,Bui Kim Thao,0949205533,true,48
KH00015,Hoang Bao Mai,0850926980,false,4
KH00016,Ly Anh Oanh,0866072751,false,2
KH00017,Dang Ngoc Dat,0850013982,false,2
KH00018,Bui Phuong Son,0980316697,false,10
KH00019,Tran Phuong Xuan,0838336496,false,41
KH00020,Do Hoang Oanh,0964036672,false,27
KH00021,Duong Tuan Ich,0886293182,true,18
KH00022,Ly Thi Chi,0895331898,true,22
KH00023,Ngo Tuan Phuc,0834690044,false,19
KH00024,Pham Van Minh,0908089517,true,3
KH00025,Phan Trung Khanh,0909885888,false,2
KH00026,Vu Hoang Son,0836691691,false,24
KH00027,Bui Phuong Hai,0988258267,false,30
KH00028,Phan Duc Hung,0855325678,true,29
KH00029,Hoang Huu Phuc,0843665665,false,32
KH00030,Huynh Tuan Hai,0979284606,false,1
KH00031,Le Kim Chi,0915967204,true,19
KH00032,Vu Anh Yen,0834709659,false,2
KH00033,Ngo Van Khanh,0846420287,false,21
KH00034,Le Anh Khanh,0967263008,false,32
KH00035,Tran Thanh Tam,0967811890,false,19
KH00036,Phan Tuan An,0891596211,false,19
KH00037,Le Phuong An,0848918196,false,0
KH00038,Le Phuong Phuc,0987649759,false,13
KH00039,Pham Thi Quang,0883656759,true,27
KH00040,Vo Thanh Uyen,0847779544,true,13
KH00041,Vu Van Xuan,0902444613,false,13
